filepath,breed
stanford_dogs/n02086079-Pekinese/n02086079_7959.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17886.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6620.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7302.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6333.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_15979.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_15375.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10600.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_1451.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_13647.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_937.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7027.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2209.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5590.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4129.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_22412.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_904.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_19690.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6243.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5522.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5125.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4843.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3174.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_23100.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_1820.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5053.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8902.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2933.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17983.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_1759.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_1877.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10932.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3493.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7817.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_15871.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6956.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_16693.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_16367.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_884.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_16313.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_422.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5106.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_15220.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_1020.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_9847.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17564.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14359.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_16979.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14929.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10615.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8826.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4350.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6467.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10613.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_12125.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4984.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_21117.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11664.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_869.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_347.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_18899.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2368.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7068.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_356.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8204.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3402.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_19863.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10958.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10627.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17205.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2073.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_21987.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17103.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_18764.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14532.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_606.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3149.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4355.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6712.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5555.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14208.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7944.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6926.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7235.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10721.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8595.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11684.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2793.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11322.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14999.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8726.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_146.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10603.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_952.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2358.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_207.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3996.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10689.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_13024.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_20762.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11984.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2893.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_13897.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2766.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10373.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_12321.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_16268.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4456.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11679.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17686.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_499.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10951.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_9408.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10059.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14360.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10159.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6180.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5766.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_7769.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8127.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_9756.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11089.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5087.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_5197.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_9151.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_1591.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3832.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_9316.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17015.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_186.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2935.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_2287.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_3774.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_22136.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14307.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11420.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_11511.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_6096.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_4412.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_15842.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8229.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_10294.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_20360.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_14748.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_380.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_21103.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_8074.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_17291.jpg,Pekinese
stanford_dogs/n02086079-Pekinese/n02086079_155.jpg,Pekinese
stanford_dogs/n02091244-Ibizan_hound/n02091244_5989.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3840.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3346.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_2919.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_569.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_1283.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_5769.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_743.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4107.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_5488.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_2709.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4281.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3864.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_1690.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_2427.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_2275.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4110.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_2407.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3874.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_5180.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_5943.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3320.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3315.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_177.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4394.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4242.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3631.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_2760.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4395.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_100.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_5639.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_3319.jpg,Ibizan hound
stanford_dogs/n02091244-Ibizan_hound/n02091244_4367.jpg,Ibizan hound
